江西电信频道,#genre#
CCTV-4 中文国际美洲,rtsp://115.153.254.81/PLTV/88888888/224/3221226962/77799052.smil
CCTV-5 体育,rtsp://115.153.212.72/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.212.72/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5 体育,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5 体育,rtsp://115.153.230.145/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.230.145/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5 体育,rtsp://115.153.233.154/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.233.154/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5 体育,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5 体育,rtsp://115.153.245.70/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.245.70/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5 体育,rtsp://115.153.247.80/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.247.80/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5 体育,rtsp://115.153.254.81/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.254.81/PLTV/88888888/224/3221226907/65396401.smil
CCTV-5+ 体育赛事,rtsp://115.153.212.72/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+ 体育赛事,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+ 体育赛事,rtsp://115.153.230.145/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+ 体育赛事,rtsp://115.153.233.154/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+ 体育赛事,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+ 体育赛事,rtsp://115.153.245.70/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+ 体育赛事,rtsp://115.153.247.80/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5+ 体育赛事,rtsp://115.153.254.81/PLTV/88888888/224/3221226976/85722488.smil
CCTV-6 电影,rtsp://115.153.212.72/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.212.72/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6 电影,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6 电影,rtsp://115.153.230.145/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.230.145/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6 电影,rtsp://115.153.233.154/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.233.154/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6 电影,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6 电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6 电影,rtsp://115.153.247.80/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.247.80/PLTV/88888888/224/3221226909/65396493.smil
CCTV-6 电影,rtsp://115.153.254.81/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.254.81/PLTV/88888888/224/3221226909/65396493.smil
CCTV-7 国防军事,http://115.153.212.72/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,http://115.153.222.112/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,http://115.153.230.145/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,http://115.153.233.154/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,http://115.153.240.228/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,http://115.153.245.70/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,http://115.153.247.80/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,http://115.153.254.81/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,rtsp://115.153.212.72/PLTV/88888888/224/3221226827/59814693.smil
CCTV-7 国防军事,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226827/59814693.smil
CCTV-7 国防军事,rtsp://115.153.230.145/PLTV/88888888/224/3221226827/59814693.smil
CCTV-7 国防军事,rtsp://115.153.233.154/PLTV/88888888/224/3221226827/59814693.smil
CCTV-7 国防军事,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226827/59814693.smil
CCTV-7 国防军事,rtsp://115.153.245.70/PLTV/88888888/224/3221226827/59814693.smil
CCTV-7 国防军事,rtsp://115.153.247.80/PLTV/88888888/224/3221226827/59814693.smil
CCTV-7 国防军事,rtsp://115.153.254.81/PLTV/88888888/224/3221226827/59814693.smil
CCTV-8 电视剧,rtsp://115.153.212.72/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.212.72/PLTV/88888888/224/3221226911/65406606.smil
CCTV-8 电视剧,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226911/65406606.smil
CCTV-8 电视剧,rtsp://115.153.230.145/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.230.145/PLTV/88888888/224/3221226911/65406606.smil
